roi_number,Area,Biovolume
140,644,8662.941742
141,423,5392.54379
142,377,4497.189884
143,414,5490.71856
144,413,5315.57477
145,504,6679.025982
146,482,6535.298118
147,9406,595914.5733
148,497,6973.550293
149,387,4684.114647
150,947,12904.87722
151,436,5145.928767
152,574,7564.169712
153,479,6723.793677
154,589,7257.07903
155,371,3514.656781
156,406,5086.238506
157,396,4428.074845
158,448,5395.685383
159,501,7217.023723
160,379,2517.434326
161,480,6360.939725
162,420,5397.256179
163,508,7557.886526
164,1313,28473.03962
165,1288,25759.48896
166,480,6818.041456
167,386,4596.150052
168,756,13097.29977
169,9547,155299.9375
170,464,5644.6566
171,482,6624.833508
172,587,9722.443865
173,475,7056.802498
174,531,7913.671894
175,441,5579.468553
176,385,4765.010657
177,350,4273.351407
178,458,6016.149932
179,550,7612.864398
180,4881,231613.9184
181,434,5431.0283
182,432,5275.519464
183,366,4338.539455
184,455,6508.59458
185,466,6389.999457
186,454,5394.899984
187,387,4567.09032
188,536,7491.913081
189,434,4730.453138
190,406,4368.384585
191,414,3465.962095
192,451,6239.988408
193,565,6365.98877
194,623,8545.917416
195,398,4611.072617
196,700,10546.32654
197,500,7064.65648
198,494,6825.11004
199,865,13100.44137
200,664,11682.01228
201,420,4939.36905
202,443,6206.216287
203,423,5650.939786
204,478,6690.806954
205,354,4367.599187
206,582,8623.671834
207,648,10475.6407
208,831,16590.7508
209,707,12449.34629
210,430,5238.60575
211,404,4658.196507
212,818,12712.45467
213,447,4658.888184
214,521,6920.143218
215,465,6753.638807
216,543,8117.090019
217,480,5903.052596
218,412,5184.413277
219,417,4966.857985
220,490,6860.452957
221,3331,135483.5394
222,546,7223.306909
223,422,4683.329248
224,309,1603.318481
225,1368,30758.54827
226,256,1220.580078
227,428,6125.320276
228,410,5193.838055
229,387,4930.72967
230,493,7507.621044
231,371,4371.526177
232,374,4219.158934
233,419,5793.882251
234,406,5501.714135
235,563,8472.875387
236,559,7213.096733
237,570,4181.837891
238,429,5562.975191
239,725,10633.50573
240,414,4757.942074
241,5788,290804.6656
242,295,2041.716431
243,528,7393.73831
244,465,3233.484239
245,2956,109973.807
246,362,4169.678849
247,425,6210.928676
248,447,4947.223031
249,459,5785.242872
250,405,4490.906698
251,370,4416.293873
252,1016,14114.39039
253,472,6919.35782
254,465,6427.698569
255,520,7191.105584
256,599,9529.235917
257,445,6400.995032
258,516,7650.56351
259,1216,18180.39669
260,772,10881.69155
261,389,4662.123498
262,439,6016.149932
263,583,7195.032575
264,736,9317.178412
265,542,7520.972813
266,471,6693.948547
267,393,4198.738582
268,488,6911.503838
269,393,4622.85359
270,685,11241.40391
271,344,4218.373536
272,347,3908.141261
273,405,3755.581787
274,391,3454.074219
275,576,8449.313442
276,321,2326.548096
277,495,6674.313593
278,584,8267.101068
279,376,3322.487549
280,5753,247247.2688
281,408,5057.964172
282,513,7472.278127
283,392,4700.608008
284,498,6656.249435
285,644,10693.19599
286,616,9487.609814
287,7554,482329.5055
288,380,4707.676591
289,1033,20676.39205
290,484,6807.045882
291,416,5271.592473
292,455,5848.074725
293,421,5576.32696
295,486,5491.503958
297,365,4018.097004
298,1557,36164.44383
299,531,6166.946379
300,598,9138.107631
301,322,4479.911124
302,448,5744.402167
303,438,6759.136594
304,537,7630.143157
305,596,9310.895227
307,540,7707.897576
308,373,3605.762968
309,649,9562.222639
310,509,6141.02824
311,569,9043.074453
312,735,10997.14508
313,390,4629.922173
314,475,5985.519403
315,451,5340.707511
316,456,6486.603431
317,335,3091.327171
318,424,5262.953093
319,621,9336.813366
320,474,6634.258286
321,625,8138.295769
322,602,9931.359776
323,426,4619.711997
324,432,5234.678759
325,427,5610.884479
326,564,8112.37763
327,470,6093.118952
328,467,6634.258286
329,863,10840.85085
330,279,2160.601807
331,394,4578.085894
332,577,6461.685059
333,471,6649.966249
334,460,4654.429688
335,485,6360.154327
336,443,5836.293752
337,469,5486.006171
338,479,6441.050338
339,397,4671.548276
340,644,7222.521511
341,322,3040.276291
342,438,5564.545988
343,354,3672.521812
344,367,4018.097004
345,440,5304.579196
346,463,6557.289266
347,420,3202.160156
348,429,3179.484863
349,421,5629.734035
350,414,5320.287159
351,537,8231.758151
352,514,7593.229444
353,590,7613.649796
354,339,3652.886858
355,373,3773.838175
356,526,7253.937437
357,569,8627.598825
358,501,6905.220653
359,434,5306.149992
360,563,8322.864338
361,321,2306.331299
362,3723,69025.17188
363,493,5821.371187
364,481,6724.579075
365,785,10168.55002
366,608,8601.680686
367,362,3905.785067
368,358,3025.77002
369,797,14401.84612
370,444,5698.849074
371,1031,22613.96932
372,581,9374.512478
373,423,4869.468613
374,451,4260.219727
375,536,6196.006111
376,397,4587.510672
377,5492,325198.8219
378,386,4097.422218
379,482,6125.320276
380,537,7232.731687
381,337,3590.055005
382,480,4719.200684
383,1173,24683.49348
384,562,7896.393135
385,381,4747.731898
386,385,3956.050549
387,487,6082.123377
388,611,8906.415173
389,407,4873.395604
390,603,3713.362517
391,5666,288689.5883
392,502,4937.012855
393,863,17274.8326
394,1035,31525.88228
395,389,2783.451091
396,604,8902.488182
397,376,4615.785006
398,344,4087.212042
399,463,5873.992864
400,432,5483.649977
401,384,4481.48192
402,527,7578.306879
403,443,5831.581363
404,383,4725.740749
405,526,7389.025921
406,355,3813.108083
407,592,8989.667378
408,467,6136.315851
409,366,3157.404053
410,543,7730.674122
411,416,4483.052717
412,418,4417.079271
413,1903,53534.30961
414,587,9632.123076
415,470,5852.787114
416,464,6503.882191
417,539,6496.028209
418,646,8004.416992
419,562,9102.764714
420,459,5109.015053
421,645,8485.441757
422,544,7351.326809
423,422,4914.236308
424,689,7534.324581
425,440,5572.399969
426,258,2426.880325
427,414,5238.60575
428,837,11219.66992
429,980,19368.70411
430,427,5022.621255
431,466,4267.068222
432,482,7143.981694
433,521,7861.050217
434,436,5530.773867
435,442,5716.913231
436,450,3944.749512
437,308,3198.141321
438,418,4968.428782
439,323,3659.170043
440,495,6726.935269
441,437,5405.110161
442,642,8531.780249
443,546,8154.789131
444,434,5643.085804
445,507,6308.318048
446,914,16800.45211
447,498,6189.722926
448,469,6294.96628
449,456,6027.930904
450,4503,223752.8682
451,425,5174.988499
452,448,5951.747282
453,821,10340.55222
454,385,2982.464355
456,791,11939.62288
457,445,5866.138882
458,509,6055.41984
459,477,6546.293692
460,484,6708.871112
461,490,7139.269305
462,620,10150.48586
463,597,8898.561191
464,446,5884.988438
465,382,4380.165557
466,381,4213.661147
467,434,5685.497305
468,488,7464.424145
469,356,4028.30718
470,448,5813.517205
471,647,9372.156284
472,277,2973.517447
473,456,5758.539334
474,303,2846.282944
475,601,7166.694824
476,515,7370.176365
477,616,7724.390937
478,530,7179.324612
479,613,8554.556796
480,368,4202.665572
481,1350,33366.07018
482,436,5235.464157
483,419,5710.630046
484,384,4437.499623
485,459,6136.315851
486,471,4912.701172
487,385,4629.922173
488,2866,45414.41797
489,423,5557.477404
490,685,12050.36402
491,412,3682.14502
492,309,3300.243083
493,426,5374.479632
494,418,4947.223031
495,621,10134.7779
496,428,5092.521691
497,736,12581.29318
498,546,8084.888694
499,585,8804.313412
500,432,5809.590215
501,438,5672.145536
502,465,6042.853469
503,9696,92645.41406
504,495,6325.596808
505,428,3824.951172
506,512,7171.47063
507,438,3705.508535
508,363,4600.077043
509,243,2192.046274
510,369,3727.499683
511,1346,47777.34108
512,850,17002.29944
513,527,7056.0171
514,308,3417.267409
515,360,4158.683275
516,611,8412.399728
517,2828,39742.17578
518,386,3582.986421
519,911,13058.02986
520,678,9509.600962
521,558,6674.313593
522,601,7194.23877
523,330,3609.689959
524,271,1127.116089
525,415,5019.479662
526,508,5302.223001
527,452,6031.072497
528,434,5169.490711
529,4106,179966.1352
530,755,13338.41701
531,782,12957.4989
532,438,3886.935511
533,507,7557.886526
535,489,6411.205208
536,544,8406.901941
537,441,5163.207526
538,612,9072.919584
539,763,8347.211681
540,444,5748.329158
541,539,7849.269245
542,400,4978.638958
543,675,11348.21806
544,642,10374.32434
545,505,6242.344603
546,639,10391.6031
547,291,2763.030739
548,391,4154.756284
549,541,6272.727539
550,2042,59882.68297
551,488,7404.733885
552,307,3054.413457
553,425,3881.493652
554,461,4878.107993
555,924,19320.79482
556,561,7107.853379
557,1041,19942.83016
558,421,4768.937648
559,892,16314.29065
560,573,8763.472707
561,595,9057.997018
562,414,5156.924341
563,476,4891.176758
564,1913,52751.26764
565,498,7550.032545
566,444,5364.269456
567,464,6068.771609
568,363,4430.43104
569,1252,30387.84034
570,714,12760.36396
571,492,6508.59458
572,405,4776.006232
573,704,12519.24672
574,455,5704.346861
575,407,4514.468643
576,553,8825.519162
577,504,5426.315911
578,546,7969.435164
579,536,6994.756043
580,538,7550.032545
581,485,6205.430889
582,404,4937.012855
583,474,6683.738371
584,429,5524.490681
585,506,7656.846695
586,464,5759.324732
587,722,12108.48349
588,565,8215.264789
589,303,3242.123619
590,5108,242878.8842
591,416,4991.990727
592,453,4259.21424
593,419,5657.222971
594,382,4285.917778
595,406,4871.824808
596,409,4894.601354
597,542,8200.342224
598,433,4234.081499
599,375,4272.566009
600,2610,52694.875
601,336,3174.579376
602,517,7331.691855
603,490,6514.092367
604,460,6349.158753
605,465,6225.851241
606,366,3926.205419
607,437,4010.456543
608,553,7529.612192
609,369,4001.603643
610,370,4294.557157
611,450,6123.74948
612,832,10548.68273
613,499,7009.678608
614,556,6263.380859
615,451,6203.860093
616,463,5609.313683
617,458,6396.282643
618,363,4260.785036
619,470,6064.05922
620,544,8533.351045
621,646,8519.213878
622,429,4794.070389
623,354,4188.528405
624,510,7286.92416
625,377,4830.984103
626,518,7054.446304
627,411,4791.714195
628,393,5152.99735
629,341,3085.043986
630,613,8746.979346
631,459,6227.422038
632,371,4810.563751
633,862,10705.76237
634,581,9041.503657
635,454,6426.913171
636,574,8338.572301
637,394,5441.238476
638,480,6833.74942
639,417,4794.855788
640,499,7125.132138
641,455,5774.247297
642,495,6289.468492
643,312,3183.218756
644,362,4808.207556
645,372,4202.665572
646,519,7692.97501
647,451,4036.23291
648,298,2890.265241
649,496,6876.160921
650,1279,31344.4553
651,813,15707.96327
653,360,3959.97754
654,442,5698.063675
655,618,7008.89321
656,765,11875.22023
657,393,4552.167755
658,1197,20507.53144
659,669,7777.798012
660,5340,258062.9869
661,431,5540.984043
662,664,10591.09423
663,377,3805.254102
664,758,11896.42598
665,380,4517.610236
666,773,8761.901911
667,539,7867.333403
668,414,5764.037121
669,487,6811.758271
670,360,2969.460449
671,434,5110.585849
672,495,6578.495017
673,425,5953.318079
674,635,8238.041336
675,446,6014.579135
676,467,6001.227367
677,931,17677.74186
678,365,5515.065903
679,997,13685.563
680,424,4823.91552
681,550,7705.541381
682,434,5702.776064
683,762,9821.404033
684,387,4970.784976
685,587,9242.565587
686,415,3713.64209
687,428,5684.711907
688,350,4105.2762
689,4357,190473.1918
690,659,10397.88629
691,853,10647.6429
692,558,7831.990485
693,454,5134.933192
694,436,5589.678729
695,590,8670.010326
696,568,8567.908565
697,411,5369.767243
698,393,4545.88457
699,465,6164.590185
700,615,10502.34424
701,1918,54830.21658
702,287,1737.303101
703,336,1678.976929
704,487,6122.178684
705,490,6554.147674
706,764,10575.38627
707,561,8473.660785
708,1208,24208.32759
709,472,6210.143278
710,425,5280.231853
711,1255,27602.81845
712,586,8673.151918
713,464,6712.798103
714,432,4069.933283
715,419,3473.030679
716,488,7239.80027
717,516,7835.917476
718,521,7864.977208
719,440,6085.26497
720,379,3295.530694
721,714,11796.68041
722,318,3583.77182
723,692,10287.93054
724,381,4501.116874
725,414,4700.608008
726,444,6559.645461
727,429,5650.939786
728,503,7162.045852
730,405,5009.269486
731,409,4411.581484
732,449,5690.209694
733,534,7559.457323
734,449,5755.397741
735,733,9064.280204
736,510,6836.105614
737,565,7773.871021
738,603,9359.589913
739,657,9830.043413
740,403,4915.021707
741,441,5683.926509
742,1261,21051.02697
743,505,6858.096763
744,417,3264.919922
745,1513,41003.28192
746,518,7380.386541
747,8586,309530.5
748,365,4045.58594
749,500,6436.337949
750,400,4892.24516
751,1030,17697.37682
752,454,5579.468553
753,465,6186.581333
754,447,6513.306969
755,506,6683.738371
756,503,7297.134336
757,507,7329.335661
758,1072,19701.71293
759,449,6009.081348
760,474,6271.404335
761,623,9235.497003
762,480,6495.242811
763,550,6971.979496
764,1177,26677.61942
765,449,6239.988408
766,468,5632.09023
767,433,5654.081378
768,498,6470.11007
769,1101,20651.25931
770,394,4980.209754
771,562,7666.271473
772,462,5670.57474
773,385,4570.231913
774,536,7653.705102
775,533,7667.056871
776,516,6622.477314
777,607,9712.233689
778,507,6956.271533
779,437,5372.908836
780,465,5579.468553
781,446,6166.160981
782,569,8402.97495
783,503,7132.98612
784,435,5488.362366
785,610,9859.103145
786,761,10503.12964
787,337,3764.413397
788,402,5174.2031
789,377,3738.495258
790,393,3744.778443
791,315,3601.835977
792,540,8297.731596
793,519,5405.518555
794,422,5081.526117
795,514,5303.935547
796,484,6411.990606
797,524,6938.207375
798,456,5522.134487
799,526,7323.052476
800,322,3368.572723
801,524,7916.028089
803,8316,244492.5156
804,559,8106.879843
805,862,14251.04967
806,582,7692.97501
807,494,6379.789281
808,434,5489.147764
809,501,6594.20298
810,1186,20509.10224
811,10047,92822.5625
812,658,10338.19602
813,368,3924.634622
814,546,7334.833448
815,537,8277.311244
816,438,3640.320487
817,1981,53947.42905
818,478,6917.787023
819,369,3001.585693
820,408,5728.694204
821,435,5984.734005
822,576,8179.136474
823,419,5407.466355
824,626,9803.339876
825,544,8302.443985
826,552,7459.711756
827,390,2854.874268
828,420,4713.959777
829,442,5302.223001
830,394,2849.481689
831,561,6963.340117
832,310,4181.459822
833,386,4416.293873
834,478,6833.74942
835,650,9920.364202
836,424,5331.282733
837,401,4722.599157
838,461,4252.931055
839,446,6005.154357
840,538,8214.479391
841,534,6349.158753
842,780,13925.89484
843,482,6298.89327
844,616,9698.096522
845,351,3848.451001
846,453,5804.877826
847,430,5871.63667
848,533,9559.081047
849,489,6558.074664
850,444,5337.565918
851,389,4746.161101
852,503,6729.291464
853,374,4391.94653
854,418,5284.944242
855,560,8323.649736
856,370,4137.477525
857,3094,28835.39063
858,384,4888.318169
859,431,5647.798193
860,445,5323.428752
861,619,10311.49249
862,441,3873.583742
863,433,5724.767213
864,602,8277.311244
865,454,5983.163209
866,309,3266.470962
867,2968,108074.7143
868,601,10238.45046
869,596,8966.890832
870,628,8903.27358
871,530,8154.003732
872,477,4775.540527
873,528,7568.882101
874,405,4615.785006
876,442,5652.510582
877,463,4049.569824
878,484,6353.085744
879,452,6068.771609
880,955,12785.4967
881,611,8250.607706
882,408,4991.990727
883,860,15191.95667
884,852,15442.49869
885,461,6481.891043
886,717,8333.859912
887,653,6466.183079
888,502,6179.51275
889,484,6262.764955
890,372,4450.065994
891,495,6486.603431
892,371,4371.526177
893,480,6307.53265
894,1357,35008.33774
895,652,10719.11413
896,342,3757.344814
897,552,7001.824627
898,426,5559.048201
899,799,12169.74454
900,365,4801.924371
901,373,4290.630167
902,631,6521.963379
903,506,6737.930844
904,457,6239.988408
905,424,4866.32702
906,542,8532.565647
907,460,5449.877856
908,415,4655.840313
909,517,3651.316062
910,394,4996.703116
911,548,4787.467285
912,341,2720.023926
913,371,4227.798314
914,534,6783.483937
915,1275,19765.16992
916,350,3003.146729
917,655,11005.78446
918,419,5053.251783
919,753,8995.950564
920,342,3334.800602
921,483,6829.037031
922,683,10272.22258
923,581,9142.034622
924,426,4462.632364
925,512,7550.817943
926,514,6964.125515
927,369,4033.019569
928,456,5815.8734
929,798,11510.01008
930,575,7085.86223
931,721,12848.32856
932,479,6141.02824
933,779,9448.339906
934,435,5511.138913
935,412,5462.444226
936,520,7846.127652
937,370,3991.393466
938,962,14524.36824
939,493,6559.645461
940,710,11575.98353
941,418,5031.260635
942,563,7781.725003
943,457,6097.045942
944,493,6694.733945
945,488,7052.090109
946,718,7722.820141
947,514,6712.798103
948,1168,29677.8404
949,5331,50986.28516
950,490,6418.273791
951,434,5207.189823
952,544,7721.249344
953,405,5161.63673
954,466,5573.185367
955,967,13047.81969
957,480,7043.450729
958,458,5569.258377
959,527,8115.519222
960,295,1292.330566
961,783,9433.417341
962,448,5382.333614
963,496,6371.149901
964,684,8367.857422
965,600,9868.527923
966,677,6712.798103
967,449,5020.26506
968,526,6496.028209
969,635,10424.58982
970,532,7969.435164
971,397,4966.857985
972,465,5572.399969
973,413,4896.172151
974,495,6489.745024
975,375,4486.194309
976,489,6495.242811
977,358,4345.608038
978,1499,24916.13477
979,466,6294.180881
980,488,6211.714074
981,551,8495.651933
982,845,10700.26458
983,360,4251.360258
984,989,21222.24377
985,681,6248.145508
986,314,3410.984224
987,466,4105.354492
988,294,3069.336023
989,602,7798.218364
990,346,2852.719482
991,374,4259.999638
992,462,6696.304741
993,402,5142.787174
994,395,4926.017281
995,933,13138.92588
996,526,7267.289206
997,453,5789.955261
998,650,10631.93494
999,517,6643.683064
1000,630,10280.07656
1001,425,5500.143338
1002,6135,65337.40234
1003,366,4109.203191
1004,843,10454.43495
1005,321,3391.34927
1006,316,3403.91564
1007,535,5538.209961
1008,512,7528.826794
1009,1225,26917.16586
1010,391,3645.174072
1011,646,9536.3045
1012,429,4909.523919
1013,437,6082.908776
1014,366,4033.019569
1015,396,4902.455336
1016,457,5972.167634
1017,427,5295.154418
1018,388,5246.459731
1019,430,4139.469238
1020,380,3193.001465
1021,601,8794.888634
1022,505,7028.528164
1023,372,4540.386783
1024,490,6517.23396
1025,539,6025.016113
1026,437,5671.360138
1027,550,7095.287008
1028,483,6689.236158
1029,413,5799.380039
1030,513,7530.397591
1031,498,6664.888815
1032,483,6522.731747
1033,348,4325.187686
1034,613,9376.868673
1035,486,6883.229504
1036,491,6299.678669
1037,528,7643.494926
1038,511,7272.786993
1039,424,5379.977419
1040,447,5753.041547
1041,403,4565.519524
1042,514,6861.238355
1043,411,4996.703116
1044,678,8963.749239
1045,335,3617.543941
1046,377,4337.754056
1047,313,3288.46211
1048,431,5752.256149
1049,425,5367.411049
1050,464,5497.787144
1051,467,4448.495197
1052,553,8575.762546
1053,495,6503.882191
1054,482,5782.886677
1055,929,12520.03212
1056,511,7085.076832
1057,334,2691.454102
1058,542,8467.3776
1059,793,10467.78672
1060,479,5980.021616
1061,466,5677.643323
1062,410,5020.26506
1063,432,6040.497275
1064,367,4506.614662
1065,575,9125.541261
1066,573,8317.36655
1067,411,4968.428782
1068,442,5751.470751
1069,338,3723.572693
1070,517,7584.590064
1071,567,8477.587776
1072,356,3756.559416
1073,391,4393.517326
1074,486,6433.981755
1075,541,5755.397741
1076,500,5784.457473
1078,487,6562.001655
1079,495,6419.844588
1080,565,9727.156254
1081,550,4346.774902
1082,456,6009.866746
1083,586,9542.587685
1084,352,3950.552762
1085,683,8281.238235
1086,457,6215.641065
1087,365,4534.888995
1088,361,4585.154478
1089,979,18474.921
1090,461,5619.523859
1091,427,4817.632334
1092,399,4629.922173
1093,692,11069.40171
1094,361,4314.97751
1095,513,6675.098991
1096,1129,26005.31859
1097,415,3912.153564
1098,576,8004.778081
1099,517,6742.643233
1100,334,3470.674484
1101,5337,253155.8192
1102,459,6361.725124
1103,361,4348.749631
1104,522,7300.275929
1105,432,5673.716332
1106,448,6241.559205
1107,381,4508.970856
1108,734,11394.55655
1109,614,9068.992593
1110,455,5899.911003
1111,376,3769.125786
1112,386,4384.092548
1113,420,5258.240704
1114,380,4474.413337
1115,461,5611.669877
1116,404,5049.324792
1117,3075,29179
1118,742,10220.3863
1119,516,5430.369141
1120,355,4372.311576
1121,751,8891.492608
1122,505,7259.435224
1123,427,4882.034984
1124,628,7461.830078
1125,426,5373.694234
1126,386,4621.282793
1127,405,5278.661056
1128,670,7746.382086
1129,433,5926.614541
1130,497,5910.12118
1131,511,7015.176395
1132,469,6287.112298
1133,1704,45108.55812
1134,387,4782.289417
1135,485,6443.406533
1136,711,10180.33099
1137,618,9814.33545
1138,785,9656.470419
1139,477,4907.915039
1140,631,6582.422007
1141,615,9439.700526
1142,970,13173.48339
1143,632,9924.291193
1144,798,5589.470215
1145,366,4040.873551
1146,435,5649.368989
1147,436,5830.795965
1148,561,7620.718379
1149,443,5919.545958
1150,428,5228.395574
1151,489,6583.207406
1152,913,15321.54737
1153,376,4516.03944
1154,406,4451.63679
1155,7917,545983.6705
1156,367,3939.557188
1157,490,7033.240553
1158,426,4594.579256
1159,405,5309.291585
1160,435,5434.169893
1161,782,9737.36643
1162,493,6855.740568
1163,639,7258.564453
1164,446,6276.116724
1165,513,7173.041426
1166,487,7017.53259
1167,516,7400.021496
1168,414,5521.349089
1169,464,6460.685292
1170,612,8871.857654
1171,390,4900.099141
1172,356,4276.493
1173,410,5083.882312
1174,622,10592.66503
1175,835,12860.89493
1176,467,6217.99726
1177,386,4574.158904
1178,460,6316.957428
1179,331,3166.725395
1180,471,5878.705253
1181,513,6997.112238
1182,663,10936.66943
1183,352,3838.240825
1184,453,5836.293752
1185,445,5748.329158
1186,376,4080.928857
1187,1264,29512.12139
1188,411,5088.594701
1189,488,6748.926418
1190,535,7955.297997
1191,480,6466.968477
1192,366,4466.559355
1193,496,6281.614511
1194,372,4670.762878
1195,611,8793.317837
1196,521,6753.638807
1197,1058,20231.85669
1198,388,4362.1014
1199,429,6071.127803
1200,2731,97663.47622
1201,503,7430.652024
1202,375,4296.913352
1203,496,6485.818033
1204,431,5803.307029
1205,448,6291.039289
1206,483,6410.41981
1207,504,6840.818003
1208,388,4715.530573
1209,631,9039.932861
1210,418,5886.559235
1211,457,5725.552611
1212,459,6383.716272
1213,466,4588.603027
1214,538,8306.370976
1215,561,7414.158662
1216,380,4264.712027
1217,621,8787.82005
1218,351,2692.464111
1219,491,6919.35782
1220,467,6196.006111
1221,435,5269.236278
1222,441,5621.094655
1223,653,11012.06765
1224,459,6159.092397
1225,580,8809.811199
1226,408,5404.324762
1227,1145,21988.00698
1228,669,8693.572271
1229,1295,30522.14343
1230,664,7710.368164
1231,443,5450.663254
1232,435,5138.074785
1233,606,9281.835495
1234,432,5507.211922
1235,542,7206.813547
1236,524,8039.335601
1237,331,3736.924461
1238,399,5054.82258
1239,775,14765.48547
1240,476,6570.641035
1241,389,4098.993015
1242,496,7166.758241
1243,582,8007.134276
1244,650,7273.572391
1245,1266,19428.39437
1246,316,3128.240885
1247,441,5321.072557
1248,490,5885.773837
1249,418,3807.285156
1250,504,6850.242781
1251,464,6836.105614
1252,483,6712.012704
1253,472,6265.906548
1254,470,4832.676758
1255,640,8520.784675
1256,393,4696.681017
1257,491,6814.899864
1258,654,10115.92834
1259,615,8557.698388
1260,482,5647.012795
1261,444,5071.315941
1262,518,7953.727201
1263,612,10124.56772
1264,1208,28974.12365
1265,494,6884.8003
1266,674,10709.68936
1267,730,8874.999246
1268,402,4998.273912
1269,568,7272.786993
1270,306,2339.487793
1271,632,9657.255817
1272,701,7722.820141
1273,343,3809.181092
1274,444,5883.417642
1275,398,4695.895619
1276,500,7718.107752
1277,400,4388.019539
1278,806,10565.96149
1279,763,12993.62722
1280,348,4157.112479
1281,398,4805.851362
1282,567,7667.842269
1283,625,10034.24694
1284,456,5835.508354
1285,347,3558.639078
1286,423,5404.324762
1287,433,5685.497305
1288,465,5923.472948
1289,815,16900.98308
1290,466,7162.83125
1291,788,7937.664551
1292,393,5002.986301
1293,738,12526.31531
1294,386,4681.758452
1295,465,5818.229594
1296,569,8702.997049
1297,366,4495.619087
1298,600,9716.946078
1299,600,9167.167363
1300,587,8505.86211
1301,616,8317.36655
1302,474,6320.884419
1303,390,4540.386783
1304,408,5207.189823
1305,540,8091.957277
1306,389,4542.742977
1307,465,5696.492879
1308,725,11982.03438
1309,594,9833.185006
1310,493,4061.956787
1311,394,5181.271684
1312,543,8072.322323
1313,427,5694.922083
1314,592,8706.924039
1315,540,7704.755983
1316,784,10885.61854
1317,419,5632.875628
1318,825,14860.51865
1319,424,5239.391148
1320,550,7426.725033
1321,5485,85595.07813
1322,373,3811.537287
1323,638,7335.618846
1324,371,4105.2762
1325,442,4899.313743
1326,487,7110.994971
1327,528,7027.742766
1328,386,4667.621285
1329,403,5035.973024
1330,479,7736.171909
1331,575,7402.37769
1332,440,5565.331386
1333,455,5737.333584
1334,371,3919.922234
1335,409,4641.703146
1336,347,4062.864699
1337,10227,182717.5156
1338,601,9148.317807
1339,445,5687.853499
1340,571,8013.417461
1341,2160,66805.18238
1342,634,9588.926177
1343,417,5102.731868
1344,346,3721.216498
1345,402,5019.479662
1346,629,9256.702754
1347,364,2465.317139
1348,535,7086.647628
1349,922,17709.94319
1350,564,4123.196777
1351,358,2508.787354
1352,393,5077.599126
1353,6803,65662.90625
1354,442,5400.397772
1355,526,5612.037109
1356,449,4295.865234
1357,400,5391.758392
1358,824,8482.488281
1359,527,7545.320156
1360,493,6673.528194
1361,384,4797.211982
1362,526,7459.711756
1363,530,6643.683064
1364,688,11823.38395
1365,5594,251708.3304
1366,872,17768.06265
