roi_number,Area,Biovolume
2,369,4339.324853
3,389,4340.110251
4,822,14688.51645
5,515,5066.940918
6,532,8066.039138
7,480,6936.636579
8,3224,42633.23047
9,1798,47515.01809
10,542,6825.11004
11,492,4849.833659
12,434,4354.349609
13,508,7296.348938
14,509,4782.289417
15,734,13648.64928
16,425,5409.037151
17,473,6154.380008
18,601,8680.220502
19,461,4652.938477
20,594,5874.778262
21,493,4904.026132
22,386,4134.335932
23,482,6668.030407
24,493,6982.189673
25,453,5904.623392
26,392,3542.038086
27,914,12162.67596
28,517,7856.337828
29,469,5994.158783
30,400,4030.663375
31,455,5861.426493
32,479,6766.990576
33,576,6854.169772
34,1101,13628.22893
35,609,9162.454974
36,391,4764.225259
37,360,4462.632364
38,398,3374.785645
39,358,3601.050579
40,441,5572.399969
41,609,9076.846574
42,432,5076.02833
44,573,4844.69043
45,703,10714.40175
46,389,4826.271714
47,476,6757.565798
48,521,7967.864368
49,372,3742.422249
50,589,8772.897485
51,436,5320.287159
52,621,11291.6694
53,538,6946.846755
54,429,5491.503958
55,406,5331.282733
56,337,3704.723137
57,849,16189.41234
58,528,7543.749359
59,439,5514.280505
60,499,7373.317958
61,461,6098.616739
62,413,5168.705313
63,398,5010.840282
64,3579,134116.9466
65,323,2447.633789
66,460,5790.740659
67,504,7112.565768
68,775,13750.75104
69,410,4987.278338
70,521,8044.04799
71,377,4786.216408
72,605,8589.114315
73,723,11253.97028
74,971,13230.03206
75,483,7121.990546
76,582,6239.562988
77,705,10260.44161
78,518,7816.282522
80,634,9660.39741
81,560,7657.632093
82,532,7879.899773
83,441,3604.673096
84,411,3968.61692
85,475,6189.722926
86,508,7209.169742
87,551,8404.545747
88,281,1622.589966
89,442,5836.293752
90,479,7070.939665
91,401,5229.180972
92,546,7747.952882
93,394,3561.324707
94,447,5911.691976
95,3415,126871.6485
96,490,6900.508264
97,469,5701.205268
98,1038,13698.12937
99,314,1412.07251
100,768,9683.173957
101,517,7307.344512
102,449,5783.672075
103,965,13834.00325
104,560,5909.335781
105,857,15495.12037
106,399,3736.446533
107,408,5360.342465
108,452,5688.638897
109,1776,41121.09164
110,483,6228.992834
111,568,8439.888664
112,545,8131.227186
113,486,6841.603401
114,683,7802.95166
115,2181,68439.59596
116,1285,29138.27186
117,286,1353.984253
118,904,14793.75981
119,696,10133.9925
120,495,7764.446243
121,520,7551.603341
122,3556,39878.32422
123,465,6541.581303
124,381,4639.346951
125,505,6790.552521
126,501,6997.112238
127,5419,292905.6057
128,575,8346.426282
129,873,14636.68017
130,420,5081.526117
131,416,5211.902212
132,445,5628.163239
133,577,8979.457202
134,456,6017.720728
135,370,2920.110372
136,475,4744.625488
137,434,6030.287099
138,340,3668.594821
139,490,5654.866776
