roi_number,Area,Biovolume
2,450,6192.864518
3,777,14651.60274
4,530,7253.937437
5,625,6977.967285
6,470,5837.864549
7,580,7758.948456
8,438,5352.488484
9,437,5277.09026
10,491,7245.298057
11,816,14942.20006
12,432,5336.78052
13,265,2309.0706
14,431,5049.324792
15,511,6477.178654
16,524,7689.04802
17,371,4315.762908
18,634,10633.50573
19,374,4263.141231
20,481,5647.798193
21,463,5665.862351
22,517,7194.247177
23,359,3937.986391
25,394,3433.76077
26,370,3711.79172
27,323,3746.349239
28,498,7214.667529
29,417,5228.395574
30,464,6104.899924
31,429,5974.523829
32,336,3670.165618
33,668,10565.17609
34,1298,28963.12807
35,391,4485.408911
36,632,11074.1141
37,1171,17528.51621
38,418,4401.371308
39,512,7271.216197
40,1347,10388.7832
41,588,8256.890892
42,239,1892.809574
43,436,5631.304832
44,500,6666.459611
45,504,6606.76935
46,460,6522.731747
47,518,7465.994941
48,511,7403.163088
49,722,11314.44594
50,565,7085.86223
51,1141,11966.32642
52,567,8655.087761
53,414,4433.572632
54,441,6105.685322
55,2062,40081.73828
56,527,9627.410687
57,399,5109.800451
58,538,7411.802468
59,396,4772.079241
60,658,9929.003582
61,834,10371.96815
62,372,4019.6678
63,489,6313.030437
64,435,4616.570404
65,478,4690.397832
66,528,7392.952912
67,707,12054.29101
68,308,2971.161252
69,1090,15557.95222
70,456,5998.085774
71,669,9614.844316
72,1264,26386.2367
73,607,8520.784675
74,410,5677.643323
75,603,10143.41728
76,397,4644.05934
77,602,9149.888604
78,515,6772.488363
79,389,4285.917778
80,599,8294.590004
81,1006,14031.92359
82,551,6291.039289
83,418,5367.411049
84,336,3623.827126
86,829,10872.26678
87,585,7639.567935
88,5447,188615.75
89,659,11100.03224
90,319,2584.832764
91,443,5884.20304
92,338,3963.904531
93,597,9486.039018
94,398,5028.119042
95,379,4527.035014
96,462,6161.448592
97,598,9280.264699
98,472,2206.183441
99,469,6777.98615
100,496,6283.970705
101,755,12485.4746
102,579,8428.107691
103,770,13357.26656
104,500,6399.424235
105,629,9393.362034
106,444,5564.545988
107,453,6064.05922
108,454,5453.019448
109,276,1165.710449
110,464,6137.886647
111,409,5716.127833
112,498,6406.492819
113,359,3732.212072
114,562,8376.271413
115,3378,157762.1437
116,579,6673.528194
117,484,6284.756104
118,473,6174.800361
119,1716,56315.40451
120,377,4512.897847
121,343,3044.988679
122,432,5137.289387
123,460,5108.229655
124,431,5219.756194
125,347,2877.036621
126,2711,137551.4927
127,751,9326.60319
128,484,6713.583501
129,1340,34418.50371
130,675,10489.77787
131,633,10045.24251
132,313,1760.114014
133,8288,487046.6069
134,522,8037.764804
135,422,5024.977449
136,759,12653.54981
137,494,6291.039289
138,437,5521.349089
139,418,4710.032786
140,435,5895.984013
141,410,4957.433207
142,364,2859.717529
143,709,7579.092277
144,1123,21841.13753
145,512,7662.344482
146,643,10163.05223
147,689,9010.08773
148,509,7395.309107
149,470,5954.103477
150,562,8621.31564
151,680,9702.023512
152,431,4450.79248
153,487,5963.528255
154,357,3707.079331
155,420,4439.07042
156,416,5562.189793
157,655,6947.632153
158,514,6591.061387
159,462,5625.807044
160,615,8995.165165
161,1160,24807.58639
162,398,4535.674394
163,579,8260.032484
164,2138,37378.66939
165,384,4676.260665
166,430,4166.537257
167,430,5268.45088
168,550,6745.784825
169,520,6938.207375
170,583,7859.479421
171,452,5749.899954
172,376,4018.097004
173,1154,27668.0065
174,602,8747.764744
175,2115,57180.91329
176,404,4898.528345
177,383,4528.60581
178,459,6321.669817
179,668,5979.149414
180,556,7921.525876
181,575,8761.901911
182,478,5090.165497
183,387,4790.143399
184,318,3334.015204
185,473,5895.198614
186,798,9051.713833
187,391,4371.526177
188,529,7292.421947
189,487,6971.194098
190,747,12457.98567
191,2312,77821.96242
192,780,9021.868703
193,602,7293.207345
194,346,3087.40018
195,529,5948.60569
196,430,5676.072527
197,654,8183.063464
198,782,13447.58735
199,693,11046.62517
200,430,5478.937588
201,1854,27422.96227
202,518,7227.2339
203,462,3169.866987
204,1751,22333.10352
205,445,5511.138913
206,569,8056.61436
207,435,5284.158843
208,619,9595.99476
209,432,5416.891133
210,606,8553.771398
211,383,4278.849194
212,914,11970.27637
213,432,4264.852539
214,548,7934.877645
215,444,4975.497365
216,448,5557.477404
217,434,4978.638958
218,683,9552.012463
219,376,3751.061628
220,407,5414.534938
221,476,4442.379883
222,857,16453.30613
223,480,6120.607887
224,427,5796.238446
225,400,4779.933222
226,512,7226.448501
227,5321,60142.8125
228,588,6665.674213
229,400,4189.313804
230,793,14261.25985
231,403,5172.632304
232,585,8651.946168
233,445,5906.979587
234,518,6780.342345
235,561,8100.596657
236,2184,23029.46484
237,396,4753.229685
238,440,6022.433117
239,492,7300.275929
240,1414,31823.54818
241,459,5828.439771
242,635,9921.1496
243,521,7078.008249
244,768,8827.089958
245,352,4135.906728
246,1018,20516.17082
247,1492,37336.25789
248,423,5933.683124
249,402,5096.448682
250,499,6628.760499
251,434,5819.800391
252,751,8303.6875
253,491,6860.452957
254,440,5347.776095
255,440,5089.380099
256,893,13335.27542
257,510,7052.875507
258,420,4991.205328
259,326,3597.123588
260,559,8007.919674
261,486,7071.725063
262,485,6358.583531
263,386,4739.877916
264,574,8136.724973
265,343,3687.444377
266,551,7795.076772
267,581,8325.220532
268,675,8206.625409
269,525,7319.910883
270,593,9469.545656
271,406,5340.707511
272,347,3308.882462
273,624,9406.713803
274,435,5563.76059
275,498,7372.53256
276,495,6785.054734
277,305,1893.720703
278,351,4169.678849
279,480,6059.346831
280,754,12479.19142
281,411,5566.902182
282,375,4668.406683
283,793,11451.10522
284,859,11966.32642
285,498,6840.818003
286,214,1442.776426
287,445,6013.008339
288,464,5826.083576
289,555,7323.837874
290,494,7220.950714
291,396,4592.223061
292,1108,16247.53181
293,645,5675.705078
294,539,7416.514857
295,497,6684.523769
296,417,5142.787174
297,682,10342.90841
298,1374,28179.3007
299,465,3725.408936
300,1530,39455.26214
301,560,7937.233839
302,487,6651.537046
303,424,5277.875658
304,1149,23528.95818
305,448,4757.942074
306,777,9729.512448
307,568,7564.95511
308,484,6548.649886
309,379,3601.202393
310,586,8798.815625
311,585,6045.995062
312,1136,15338.04073
313,614,8791.747041
314,436,5917.975161
315,456,6306.747252
316,680,7132.98612
317,553,8474.446183
318,554,7981.216136
319,468,6739.50164
320,588,8596.968297
321,525,7554.744934
322,449,6196.006111
323,581,8545.132018
324,532,6982.975071
325,686,12388.87063
326,482,6673.528194
327,543,7575.950684
328,546,7616.791389
329,6930,359093.4651
330,570,7278.28478
331,583,9192.300104
332,408,5374.479632
333,777,12693.60512
334,494,6553.362275
335,458,5716.127833
336,468,6281.614511
337,375,4737.521722
338,554,8523.926267
339,1785,40650.63814
340,577,7756.592262
341,848,11733.84856
342,407,5330.497335
343,578,7487.200692
344,1047,17337.66446
345,522,7111.78037
346,332,2564.470215
347,9616,549799.9201
348,475,5348.561493
349,322,3541.360319
350,275,2692.344904
351,373,2825.86792
352,374,3743.993045
353,445,6166.946379
354,387,4750.088092
355,409,3684.753418
356,367,4190.099202
357,643,10287.93054
358,554,7776.227216
359,524,8561.625379
360,575,7711.824566
361,588,9288.11868
362,555,7140.054703
363,428,5755.397741
364,478,6339.733975
365,415,4889.103567
366,513,6803.90429
367,531,7172.256028
368,578,7502.123257
369,662,10948.4504
370,843,14651.60274
371,881,12298.54984
372,507,7094.50161
373,489,6752.068011
374,512,5174.988499
375,456,4304.631836
376,785,11176.21587
377,762,9606.990335
378,487,5265.309287
379,404,4292.200963
380,446,5870.065873
381,542,7682.764834
382,564,8884.424024
383,534,7272.786993
384,390,4582.012885
385,361,4355.032816
386,475,5636.017221
387,340,3831.957639
388,453,5946.249495
389,636,9372.156284
